gis_nr,farm_id,bfsnr,gembez,estate_nr,flaeche,blw_nr,blw_name,harvest_date,has_nhg_contract,lz_code,hang_50,hang_reb_0,hang_reb_30,hang_reb_50,einzelkulturbeitrag,outside_canton,bfs_parz,birth,bfsnr_num,has_bff_q2_contract,has_connectivity_contract,has_lqb_contract,region,contribution,used,operating_rate,hang_0,hang_18,hang_35,q1_from,geodb_oid
"109917",0261/ 1/304,"0245",Oberengstringen,"1553",5,"0712",Christbäume,,0,31,0,0,0,0,N,N,0245_1553,2023,245,N,N,N,Frankental,J,J,100,0,5,0,,4892
"346923",0159/ 1/ 14,"0159",Uetikon am See,"4551",3,"0712",Christbäume,,0,31,0,0,0,0,N,N,0159_4551,2023,159,N,N,N,Brandrain,J,J,100,0,1,2,,4997
"11375320",0097/ 1/  4,"0097",Rümlang,"1673",8,"0712",Christbäume,,0,31,0,0,0,0,N,N,0097_1673,2023,97,N,N,N,Büchselweg,J,J,100,8,0,0,,5443
"42364",0248/ 1/ 13,"0248",Uitikon,"78",118,"0712",Christbäume,,0,31,0,0,0,0,N,N,0248_78,2023,248,N,N,N,Surenloh,J,J,100,118,0,0,,5720
"11375321",0097/ 1/  4,"0097",Rümlang,"2048",11,"0712",Christbäume,,0,31,0,0,0,0,N,N,0097_2048,2023,97,N,N,N,Büchselweg,J,J,100,11,0,0,,5841
"338641",0177/ 1/101,"0177",Pfäffikon,"2882",2,"0712",Christbäume,,0,31,0,0,0,0,N,N,0177_2882,2023,177,N,N,N,Rain,J,J,100,0,2,0,,5884
"115039",0053/ 1/ 40,"0053",Bülach,"6589",74,"0712",Christbäume,,0,31,0,0,0,0,N,N,0053_6589,2023,53,N,N,N,Aloo,J,J,100,54,20,0,,6171
"112716",0191/ 1/ 57,"0191",Dübendorf,"2224",12,"0712",Christbäume,,0,31,0,0,0,0,N,N,0191_2224,2023,191,N,N,N,Parzelle Nr.5,J,J,100,12,0,0,,7267
"121586",0251/ 1/ 29,"0251",Weiningen (ZH),"2975",21,"0712",Christbäume,,0,31,0,0,0,0,N,N,0251_2975,2023,251,N,N,N,Längg,J,J,100,21,0,0,,8385
"11375731",0248/ 1/ 13,"0248",Uitikon,"997",7,"0712",Christbäume,,0,31,0,0,0,0,N,N,0248_997,2023,248,N,N,N,Rüti,J,J,100,7,0,0,,9057
"37165",0096/ 1/ 55,"0096",Regensdorf,"3000",172,"0712",Christbäume,,0,31,0,0,0,0,N,N,0096_3000,2023,96,N,N,N,Buchhau K.T,J,J,100,168,4,0,,9289
"371322",0198/ 1/115,"0172",Fehraltorf,"413",14,"0712",Christbäume,,0,31,0,0,0,0,N,N,0172_413,2023,172,N,N,N,Burg,J,J,100,14,0,0,,10032
"88652",0214/ 1/ 24,"0214",Dägerlen,"821",29,"0712",Christbäume,,0,31,0,0,0,0,N,N,0214_821,2023,214,N,N,N,Süssenberg,J,J,100,29,0,0,,10756
"83539",0228/ 1/ 97,"0228",Turbenthal,"3616",9,"0712",Christbäume,,0,51,3,0,0,0,N,N,0228_3616,2023,228,N,N,N,Schürli,J,J,100,0,3,3,,13534
"328216",0177/ 1/139,"0177",Pfäffikon,"11281",87,"0712",Christbäume,,0,31,0,0,0,0,N,N,0177_11281,2023,177,N,N,N,Pfäffikon,J,J,100,87,0,0,,14323
